"customer_id","city"
23169,"El Paso"
27966,"Mobile"
38559,"York"
41900,"Charleston"
44707,"Tacoma"
47687,"Visalia"
48242,"Reston"
49801,"Newark"
2,"Saint Louis"
3,"Pensacola"
4,"Nashville"
5,"Miami"
6,"Miami"
7,"Orlando"
8,"New Haven"
9,"Shawnee Mission"
10,"El Paso"
11,"Tulsa"
13,"San Diego"
14,"North Little Rock"
15,"Brea"
16,"Denton"
17,"Norfolk"
18,"Bloomington"
19,"Phoenix"
20,"Boca Raton"
22,"Boston"
23,"Dallas"
25,"Young America"
26,"Columbia"
27,"New Haven"
28,"Des Moines"
29,"Huntington"
31,"Washington"
32,"Naples"
33,"Honolulu"
34,"Rockville"
35,"San Antonio"
36,"Monroe"
37,"Honolulu"
39,"Topeka"
40,"Nashville"
41,"Denver"
42,"Atlanta"
43,"Monticello"
45,"New Orleans"
46,"Houston"
47,"Washington"
48,"Portland"
50,"Spokane"
51,"Memphis"
52,"New York City"
53,"Pittsburgh"
54,"Tampa"
55,"Modesto"
57,"Lansing"
58,"Norfolk"
59,"Denver"
60,"Washington"
61,"Lansing"
62,"Columbia"
64,"Huntington"
65,"Sacramento"
66,"Austin"
67,"Washington"
68,"Seattle"
69,"Murfreesboro"
71,"Atlanta"
73,"Cape Coral"
74,"Humble"
75,"Bakersfield"
76,"Dallas"
77,"Charleston"
78,"Washington"
79,"Mobile"
80,"Long Beach"
81,"Raleigh"
82,"Milwaukee"
83,"Dallas"
84,"Ridgely"
85,"Portland"
86,"Tampa"
87,"Syracuse"
88,"Homestead"
89,"Springfield"
90,"Greenville"
91,"El Paso"
92,"Fort Wayne"
93,"Young America"
94,"Lancaster"
95,"Lakewood"
96,"Washington"
97,"Madison"
98,"Columbus"
99,"Portsmouth"
100,"Shawnee Mission"
101,"Saint Paul"
102,"Cincinnati"
103,"Sarasota"
104,"Springfield"
105,"Fort Worth"
106,"Detroit"
108,"El Paso"
109,"Orange"
110,"Chicago"
111,"Winter Haven"
112,"San Bernardino"
113,"Washington"
114,"Oklahoma City"
116,"Brooklyn"
117,"Torrance"
118,"Greeley"
119,"New Haven"
121,"Temple"
122,"Virginia Beach"
123,"Tallahassee"
124,"Grand Rapids"
125,"Pittsburgh"
126,"Tulsa"
127,"Birmingham"
128,"Tuscaloosa"
129,"Oklahoma City"
132,"El Paso"
133,"Philadelphia"
134,"Grand Rapids"
135,"Washington"
136,"Tempe"
137,"Toledo"
138,"College Station"
140,"Waterbury"
141,"Washington"
142,"Sacramento"
143,"Grand Junction"
144,"Washington"
145,"El Paso"
146,"Brockton"
147,"Dallas"
148,"Asheville"
149,"Sacramento"
150,"Los Angeles"
151,"Daytona Beach"
152,"Muncie"
153,"Orlando"
154,"Virginia Beach"
155,"Tempe"
156,"Carol Stream"
157,"Jackson"
158,"Chicago"
159,"Bloomington"
160,"Arlington"
161,"Oklahoma City"
162,"New York City"
163,"Shreveport"
165,"San Antonio"
167,"Detroit"
168,"Fort Wayne"
169,"San Diego"
170,"Los Angeles"
171,"Tampa"
172,"Las Vegas"
316,"Sacramento"
173,"Peoria"
174,"Miami"
175,"Long Beach"
176,"Prescott"
177,"Waco"
179,"Naples"
180,"Sioux Falls"
181,"Washington"
182,"Los Angeles"
183,"Richmond"
184,"Kingsport"
185,"Roanoke"
186,"Seattle"
187,"Las Vegas"
188,"Stamford"
190,"Brooklyn"
191,"Birmingham"
192,"Rochester"
193,"Austin"
194,"Lake Charles"
195,"Richmond"
196,"Washington"
197,"Omaha"
198,"San Francisco"
199,"Brooksville"
200,"Honolulu"
202,"Beaumont"
203,"Raleigh"
204,"Evanston"
205,"Atlanta"
206,"San Francisco"
207,"Bronx"
208,"Minneapolis"
209,"Englewood"
210,"Kansas City"
211,"Cedar Rapids"
212,"Philadelphia"
214,"Santa Fe"
215,"Denver"
216,"Montgomery"
217,"White Plains"
218,"Sarasota"
219,"Albuquerque"
220,"Washington"
221,"Washington"
222,"Lansing"
223,"Wilmington"
224,"Philadelphia"
225,"Saginaw"
226,"Miami"
228,"Lexington"
229,"Memphis"
230,"Fort Wayne"
231,"San Jose"
232,"San Francisco"
233,"Orlando"
234,"Washington"
235,"Omaha"
236,"Billings"
237,"Denver"
238,"Atlanta"
239,"Richmond"
240,"Ridgely"
241,"Syracuse"
242,"Vancouver"
340,"Palo Alto"
243,"Dallas"
244,"Roanoke"
245,"Shreveport"
246,"Spokane"
247,"Saint Louis"
248,"Monroe"
249,"El Paso"
250,"Tulsa"
251,"Arvada"
252,"Fresno"
253,"Detroit"
254,"Jacksonville"
255,"Richmond"
256,"Oakland"
257,"Pittsburgh"
258,"Paterson"
259,"Washington"
260,"Los Angeles"
262,"Saint Cloud"
263,"Los Angeles"
264,"Lynchburg"
265,"San Antonio"
266,"Winston Salem"
267,"Baton Rouge"
268,"Houston"
269,"Washington"
270,"Dayton"
272,"Philadelphia"
273,"San Francisco"
274,"Chicago"
275,"Birmingham"
276,"Washington"
277,"Charlottesville"
278,"New Haven"
279,"Pittsburgh"
280,"Lees Summit"
281,"Anaheim"
282,"Houston"
283,"Wichita"
284,"Hampton"
285,"San Francisco"
286,"Chicago"
287,"Miami"
288,"Roanoke"
289,"Richmond"
290,"Oakland"
292,"Memphis"
293,"Fayetteville"
294,"Anchorage"
295,"Hialeah"
296,"Saint Louis"
297,"Baton Rouge"
298,"Shreveport"
299,"Huntsville"
300,"Washington"
301,"Honolulu"
302,"Albany"
303,"Los Angeles"
304,"Charlotte"
305,"Mobile"
306,"San Diego"
307,"Kissimmee"
308,"Juneau"
309,"Arlington"
311,"Tyler"
312,"New Haven"
313,"Columbus"
314,"Wilkes Barre"
315,"New Hyde Park"
317,"Crawfordsville"
318,"Las Vegas"
319,"Saint Petersburg"
320,"Akron"
321,"Reading"
322,"Long Beach"
323,"Stamford"
324,"San Jose"
325,"Washington"
326,"San Jose"
327,"Los Angeles"
328,"Lexington"
329,"Dallas"
330,"Buffalo"
331,"Fort Lauderdale"
332,"Raleigh"
334,"San Francisco"
335,"Washington"
336,"Chicago"
337,"Saint Paul"
338,"Scottsdale"
339,"Kansas City"
342,"Birmingham"
344,"Valdosta"
345,"Nashville"
346,"Herndon"
347,"Staten Island"
348,"Sioux City"
349,"Baton Rouge"
350,"Atlanta"
351,"Peoria"
354,"El Paso"
355,"Naperville"
356,"Stockton"
357,"Milwaukee"
358,"Chicago"
359,"Montgomery"
360,"Washington"
361,"Charleston"
362,"Los Angeles"
363,"Philadelphia"
365,"Milwaukee"
366,"Lima"
367,"Baton Rouge"
368,"Missoula"
369,"Mount Vernon"
370,"Atlanta"
371,"San Jose"
372,"Charleston"
373,"Pasadena"
374,"New York City"
375,"Philadelphia"
376,"Jersey City"
377,"Fort Smith"
378,"Cleveland"
379,"Bismarck"
380,"Washington"
382,"Houston"
384,"Oakland"
385,"Nashville"
386,"Shreveport"
387,"Philadelphia"
388,"Columbus"
389,"Spokane"
390,"Pensacola"
391,"Saginaw"
392,"Pittsburgh"
393,"Fort Worth"
394,"Anderson"
